,Time,Topics,Articles,Names,Source
0,3/16/2022,Threat to a free Press,"Never has the free Press and media been more important than at this pivotal moment in European history. With Vladimir Putin throwing up a smokescreen of fake news to mask his barbaric war on Ukraine, Western journalists risk life and limb daily to tell the real story. Their heroics remind us that freedom of expression is not a given. It must be cherished and fought for. Even here in Britain the free Press is under threat. The revised Online Safety Bill due to be published on Thursday is designed to make social media firms responsible for tackling illegal content and protecting children from online harms. But for all its undoubted good intentions, it contains a highly dangerous flaw. Algorithms used by tech giants to remove harmful material could also block the online output of bona fide news organisations. For example, legitimate stories about terrorism or child abuse could be blocked by default – with crushing effect on press freedom.', ""Thankfully Culture Secretary Nadine Dorries recognises the problem and says she has 'every intention of further improving the requirements for platforms not to remove content from recognised media outlets'."", 'This welcome acknowledgement must be followed by detailed proposals to amend the Bill. In an ideal world, legitimate online news outlets would be taken out of it altogether. Failing that, they must be fully protected against unintended censorship.', ""We simply can't allow algorithms dreamed up in Silicon Valley to dictate what the British public should, and should not, be allowed to know.""","Vladimir Putin, Nadine, Bill",daily_mail
1,4/5/2022,Stiffer sanctions can help stop slaughter,"Not since the slaughter of thousands of men and boys at Srebrenica a quarter of a century ago has Europe seen atrocities on the scale of those orchestrated by Vladimir Putin in Ukraine.', ""The unspeakable savagery meted out against civilians by the Russian army, as it retreats tail between legs from near Kyiv, is testament to the dictator's depravity."", 'Even as the Kremlin snivels that it is the victim of misinformation and faked images, more evidence emerges of its war crimes. A mayor executed and dumped in a pit alongside her husband and son. A woman raped and murdered, her body desecrated with a swastika. More torture, more mutilation, more mass graves. And these horrors are undoubtedly only the tip of the iceberg. The world has reacted with revulsion. Rightly, Boris Johnson and Joe Biden have called for Putin to face justice. But, for now, that puts the cart in front of the horse. There is no chance of the monster facing war crime charges unless Ukraine wins the conflict. For that to happen, Russia must be weakened further. That means giving President Zelensky the weapons he needs. And it means ratcheting up economic sanctions to the crippling maximum.', ""Above all, Europe should ban imports of Putin's oil and gas. Yes, it will come at a cost, but those revenues fund his war machine and ultimately kill innocent Ukrainians."", 'Germany is resisting but it must be persuaded to back down. The West, which Putin had dismissed as decadent and disunited, has showed admirable common purpose in facing down evil. For the sake of Ukraine, democracy and freedom, it must continue to do so.', ""The war has exposed just what a dog's dinner successive governments have made of our domestic energy policy."", 'Blindly buying into green dogma has left us at the mercy of unreliable renewables and foreign regimes to provide fuel for heating, industry and motoring.', ""Downing Street's imminent energy strategy is a chance to put us firmly on a sensible path to self-sufficiency."", 'So the commitment to develop new North Sea oil and gas fields is long overdue, as is reconsidering fracking, which has been regulated into irrelevance. Whatever they decide, ministers must stick to their guns. Deliberation and dawdling landed us in this mire in the first place. Since foreign travel was effectively banned, no industry was hit harder during the pandemic than the airlines. But with restrictions lifted and families desperate for sunshine breaks, Easter was a perfect chance to claw back lost billions.', ""Unfortunately, they've botched it horribly. Foreseeable staff shortages forced carriers to cancel flights, leaving holidaymakers fuming in departure lounges. Some operators have jacked up prices to apparently deter customers – a curious business model!"", ""The airline industry is supposed to be a jewel in our national crown. At present, it's a national embarrassment."", 'In a blast of refreshing common sense, the equalities watchdog says organisations such as gyms, hospitals and refuges can legally restrict services to a single sex.', ""This is a huge victory for women's rights, which trans activists have sought to erode by browbeating public bodies and firms."", 'New guidance should set a precedent for how to deal with this thorny issue. Of course, transgender people deserve respect. But an obsession with inclusivity at all costs cannot ride roughshod over the privacy and safety of half the population.","Boris Johnson, Vladimir Putin, Joe Biden, Putin, Easter, Zelensky",daily_mail
2,4/8/2022,Stop ticking boxes and give Ukrainian refugees sanctuary,"""The depredations and sheer inhumanity of Vladimir Putin's marauding army in Ukraine grow worse by the day. The latest stories are almost too appalling to take in."", 'More than 50 killed and dozens wounded, including children, after a brutal Russian rocket strike on a Donbas railway station packed with fleeing refugees. A pregnant teenager and 78-year-old grandmother raped, with others allegedly tortured to death in Kherson. In Chernihiv, more than 300 civilians locked in a cramped, decrepit school basement for a month.', ""They weren't allowed to leave, even to use the toilet, and at least 12 died from suffocation."", ""It's the sort of cruelty one might expect from Islamic State. Not a country that pretends to belong to the civilised world."", 'Yet as desperate Ukrainian families cry out to escape this place of torment and death, pettifogging bureaucrats in this country conspire to deny them sanctuary. More than 200,000 Britons have offered to share their homes and 80,000 refugees have gratefully applied to come here. But because of the brainless tick-box culture among council inspectors, many residences have been rejected on health and safety grounds.', ""Some of the reasons are truly risible. Stairs deemed 'too steep'. Loose floorboards. A step up into the bathroom. Lack of guard rails."", ""Risk assessments must be made, of course – on properties and prospective hosts. But where's the sense of proportion?"", 'A mother and her children who have cowered for weeks in a bombed-out basement in Mariupol are hardly likely to worry about the floorboards in a house in Tunbridge Wells or Tadcaster.', ""The application process is also too complex and protracted. Despite promises to simplify it there's still a backlog of nearly 40,000 cases."", 'We are in the midst of a humanitarian nightmare. Every day of quibbling and prevarication is a day wasted. And it compounds the trauma of these innocent casualties of war. More than just a smear', ""Controversy over the Sunak family's financial affairs deepened yesterday with the extraordinary revelation that the Chancellor held an American 'green card' and filed US tax returns for a full 18 months after taking the reins at the UK Treasury."", 'Quite apart from the troubling question of whether he therefore avoided paying tax in this country on US earnings (he owns property there), green card holders are meant to be permanent residents in America. Difficult for a government minister, one might think. Coming after the news that his wealthy Indian wife Akshata Murty enjoyed non-domicile tax status in Britain, this has become a full-blown crisis for Mr Sunak.', ""He condemns the attacks on his wife as 'a smear'. She pays full UK tax on all income in this country, he says, and anyway, 'she is not her husband's possession'."", ""No, but she's the wife of the Chancellor, so must expect her finances to be scrutinised, especially as her husband has just imposed swingeing new taxes on the British people, which she presumably won't pay."", 'She implies that, as an Indian citizen, she had no option but to become a non-dom. That is not true. It was her choice.', ""And the problem with the Chancellor's wife not paying UK tax, is that it looks like one rule for his family and one for the rest of us."", 'This is more than just a smear. There are pressing and legitimate questions to answer. How much tax has she avoided?', ""Will she pay it back? What other tax shelters does she use? And that's before we even start on the green card mystery."", 'He may think the questions unfair. But until Mr Sunak answers them fully and frankly, the whiff of hypocrisy and double standards will not go away.",Vladimir Putins,daily_mail
3,4/19/2022,Bone-idle bureaucrats must get off their sofas,"If Britain is to bounce back fully from the pandemic, the entire workforce must pull in the same direction. But while millions put the economy first by returning to offices, factories and shops, the Mail revealed on Saturday that Whitehall still resembles a ghost town. Sir Humphrey is letting handsomely paid civil servants continue working from home. Today, we reveal the extent of this scandal. While war rages in Ukraine, only one in three Foreign Office staff are back at their desks. The same goes for the Business Department, even as households and firms struggle with crippling energy bills. Most departments are not even half full. So three cheers to Efficiency Minister Jacob Rees-Mogg for zapping this stifling indolence. He has told the Cabinet to make bone-idle bureaucrats change out of their jogging bottoms and return to work rapidly.', ""Senior mandarins harrumph that staff can perform effectively from home. But anyone banging their head against a brick wall trying to renew a passport or driving licence knows that's hogwash."", 'The awkward pantomime of a video conference call is no substitute for the real thing. This can be bad for morale and career development, especially for the young, who are starved of the support of their peers and senior colleagues. As well as fuelling creativity and productivity, office working throws a lifeline to small firms that rely on passing trade.', ""The civil service supposedly runs the country. What example does it set when staff won't drag themselves off their sofas?"", 'Axe this party palaver', ""Proving those in glass houses shouldn't throw stones, Nicola Sturgeon has been admonished by police for breaking her own lockdown rules."", 'The high priestess of Covid crackdowns admitted not wearing a mask while electioneering at a barber shop. Mistakes happen. Still, it is deeply humiliating. The SNP leader has been chief tut-tutter at the public, shaming them to obey her overbearing restrictions – and just days ago hypocritically insisted that Boris Johnson resign for receiving a fine.', ""Let's hope the Metropolitan Police take note, quit dragging their feet over Partygate and ditch their overzealous enforcement."", 'As ill-advised as the soirees might have been, they involved people working closely together to tackle a once-in-a-century pandemic. With Parliament sitting again after Easter, Labour will grandstand by seeking to censure the Prime Minister over his fine, a vote it will undoubtedly lose. After that, the Government needs to focus on the Ukraine war, rebuilding the Covid-ravaged economy and living costs. A line must be drawn under this sorry saga. At last, clerical clarity From the ill-informed virtue-signalling on migrants by Justin Welby to a cleric who does speak for the flock he represents. The Bishop of Odessa has hailed Mail readers for helping fund life-saving food parcels for starving families in Ukraine. Despite the cost of living squeeze, you have responded to our refugee campaign with unmatched benevolence. Those famished victims know they are not alone.', ""Meanwhile, thanks to flak jackets and helmets donated by this paper, Ukrainian journalists can keep exposing the atrocities committed by Putin's army – further damning the dictator in the world's eyes.""","Whitehall, Boris Johnson, Justin Welby, Jacob Rees-Mogg, Humphrey, Mail, tut-tutter, Putin, Nicola Sturgeon",daily_mail
4,4/22/2022,Mail readers' weapon against Putin's cruelty,"In the dark nightmare of warfare, munitions are not the only weapons. To terrorise populations (and in flagrant breach of all conventions) rogue armies rape and murder civilians.', ""Then there is starvation. Throughout history, repugnant regimes have sought to break enemies' will by deliberately pushing their people into famine."", 'Today, in supposedly civilised Europe, evil Vladimir Putin is inflicting such hell on innocent Ukrainians. Russian invaders have intentionally destroyed farms, grain silos and supermarkets and, in a key city in Luhansk, obliterated food depots. The consequences of this war crime are as tragic as they are predictable. Ukrainians have been reduced to scrabbling in bins and collecting drinking water from puddles. Amid such distress, you – our magnificent readers – are offering a lifeline. Thanks to your magnificent generosity, hundreds of thousands of life-saving food boxes are being sent to Ukraine. Given the worsening crisis, these vital aid parcels could not be more timely.', ""The record-breaking £11million you've raised for the Mail Force refugee appeal shows the victims they are not forgotten."", ""Is Putin, as Ukrainians fear, trying to recreate the Holodomor – the 'hunger extermination', when Stalin starved millions of their countrymen to death?"", 'Who knows. But your kind donations are a powerful weapon in the fight to stop history repeating itself. Put customers first', ""On its website, Santander boasts of offering 'a more personal banking service whenever you need it'."", ""Mike Regnier, the bank's extravagantly paid boss, should explain that to customers who will be severely inconvenienced by his branches slashing their opening hours."", 'Wheeling out the old excuse, the lender argues this is because most customers want to bank online or by telephone.', ""But isn't it a case of chicken and egg? Reducing counter services makes it more difficult for someone to go to a branch."", 'That forces many to turn to internet banking, which executives then cynically use as an excuse to cut more hours – or shut branches entirely. As usual, the biggest losers are the elderly and vulnerable. With cyber-scammers a threat, they prefer to rely on cash and deal with real people. And small firms, forced to shut up shop at the busiest time of the day to deposit money, suffer too. Yes, as a commercial operation, Santander must pay attention to the bottom line. But is it too much to ask that, for once, they put profits second – and customers first? Lessons never learnt They died 27 years apart. Both defenceless little children, both murdered with unspeakable brutality. But their violent deaths are not the only connection between Logan Mwangi, five, and Rikki Neave, six. They were failed abysmally by institutions whose job it was to protect them and deliver justice.', ""Social services missed a string of red flags that Logan was being tortured. Police blunders meant Rikki's killer was at large for years – free to commit other depravities."", ""Every time one of these appalling scandals occurs, we are told 'lessons will be learned', that official incompetence, box-ticking and blame-shifting will be stamped out. How shameful that they never are.""","Rikki Neave, Logan Mwangi, Vladimir Putin, Logan, Stalin, Putin, Mike Regnier",daily_mail
5,2/23/2022,Nato must not fold in face of Putin's tyranny,"""It's no exaggeration to say that decisions taken in Europe over the next few days will define world security for a generation. As Russian tanks roll in to Ukraine, will the Nato alliance stand or will it fold?"", ""If it folds, Vladimir Putin's audacious land grab will not stop at eastern Ukraine. Like all bullies, he will want more. Kiev would surely be his next target. Then how long before his predatory eye fell on the Baltic states of Estonia, Latvia and Lithuania?"", ""The president has clearly absorbed Lenin's famous parable: Probe the enemy with your bayonet. If you find mush, you push. If you find steel, you withdraw."", ""Until yesterday the West's response had been more mush than steel. Germany, hungry for Russian gas, had been scandalously muted in defending Ukraine."", 'Worse still, French President Emmanuel Macron, pathetically desperate to be seen as a global player, sucked up to Putin – who played him like a cheap violin. While he was supposedly brokering a diplomatic deal between Moscow and Washington, the invasion began. It was nothing less than a ritual humiliation. But yesterday, the wheel appeared to be turning. Boris Johnson – who has handled the crisis with aplomb – laid out tough new sanctions designed to freeze Russia out of the global finance system. Germany, in a belated but welcome show of solidarity, put a block on Nord Stream 2 – the underwater pipeline due to carry Russian gas to Western Europe. America has sanctions against 735 individuals and entities – including trade embargoes, travel bans and freezing of assets – and last night announced more. Even the hapless EU has come to the party and punished Russia.', ""Now the phony war is over and Ukraine's sovereignty has been breached, the Western alliance is beginning to show some resolve – with instant effect."", ""Russian stocks, bond values and the rouble are tumbling. If Putin's oil and gas exports are also restricted, the Russian economy will take a grievous hit."", 'If liberal democracy is to triumph over totalitarianism, the pressure must be kept up and, if necessary, intensified. Only by standing together can the West show that tyranny will not prevail.', ""Football's own goal"", ""While the people of Ukraine brace themselves for Putin's onslaught, it's business as usual for the ethically bankrupt sport of football."", 'Never shy of taking dodgy cash, Uefa refuses to relocate its showcase Champions League final from St Petersburg. But then their main sponsor is the Russian energy giant Gazprom. Meanwhile, Manchester United – who play in the tournament tonight – are heavily funded by Russian national airline Aeroflot. In the grasping world of football, the contest between money and morals only ever has one winner.","Boris Johnson, Emmanuel Macron, Vladimir Putins, Kiev, Gazprom, Putin, Lenin, Manchester United",daily_mail
6,2/24/2022,Woke and dagger only boosts UK's enemies,"""It can be credibly argued that Britain's security services have never faced a more serious array of threats than they do today."", 'Europe teetering on the brink of war as Russian tanks rumble into Ukraine. China menacingly flexing its muscles. Hostile regimes relentlessly engaged in espionage and cyber warfare. And terrorists planning atrocities on our streets. No wonder the head of MI5 grimly told the Mail that our entire way of life is in peril. Terrifyingly, not all our spymasters have a laser-like focus on defending the country.', ""While our enemies plot, national security adviser Sir Stephen Lovegrove is obsessed with Britain's undercover agents raising their game on inclusivity and diversity."", ""This preposterous mandarin wants spies educated in dubious academic ideologies such as 'white privilege', while declaring their gender pronouns."", ""Equally bizarre, he says words such as 'strong' and 'grip' should be avoided, claiming they reinforce masculine stereotypes. Leave aside that such a view is profoundly chauvinistic itself (can a woman not be 'strong' or have 'grip'?)."", 'It is insane that at a time of grave international danger, with UK interests and lives at risk, some of our security chiefs are fixated on garbled wokery. Such indulgent introspection only weakens Britain – and strengthens our enemies. Lessons in hypocrisy Has Boris Johnson pulled his punches by failing to impose the harshest sanctions against Russia over Ukraine?', ""Sir Keir Starmer is firm in his opinion: By targeting only five banks and three of Vladimir Putin's oligarch cronies, the Prime Minister has been scandalously timid."", ""Only tougher measures will rein in the tyrant, says Labour's leader."", 'Of course, his strategy has a glaring flaw. If there are no sanctions left in the locker, Putin has no incentive to halt his invasion until the Russian flag flies over Kiev.', ""But let's not take lessons from Sir Keir. Lest we forget, he battled to get Kremlin apologist Jeremy Corbyn into No 10. In that horrific scenario, who would've bet against Britain sending weapons to Moscow!"", 'Tellingly, he refuses to withdraw the whip from anti-Western Labour MPs who openly blame Nato, not Putin, for the aggression. Just as bad, he hypocritically berated Mr Johnson for failing to take TV station Russia Today, the Kremlin mouthpiece, off air. Yet David Lammy, his shadow foreign secretary, lined his pockets by appearing on its shows.', ""Before piously condemning the PM over sanctions, shouldn't Sir Keir first weed out the Putin sympathisers in his own party?"", 'The joyful old normal', ""Today, after two nightmarish years, the nation joyfully waves good riddance to the loathed 'new normal' of the pandemic."", 'With all legal restrictions axed – including self-isolation – we can re-embrace our old, cherished, pre-Covid lives. Even mask evangelist Sadiq Khan has lifted rules compelling travellers to wear face coverings on public transport (but only, we note, after he was photographed without one at a boxing match). Now the country can move on. Bank of England governor Andrew Bailey is determined to get the economy going.', ""But wouldn't people more readily heed his lectures if he got his own staff back into the office instead of working from home?\xa0""","Keir Starmer, Boris Johnson, Mr Johnson, Jeremy Corbyn, Stephen Lovegrove, Vladimir Putins, Andrew Bailey, Putin, David Lammy, Sadiq Khan",daily_mail
7,2/25/2022,The people of Ukraine are victims of a monstrous act of war,"Since the collapse of the former Soviet Union, the West has made a series of fatal assumptions. That liberal democracy had triumphed over totalitarianism. That the world had adopted our values of peace and individual freedom. That the bloody swords of yesteryear would be turned into ploughshares in a new globalised world of guaranteed growth and prosperity. And, above all, that the threat of a European war involving nuclear powers had been banished for good. Today, in the most shattering manner, we learn just how complacent and delusional those assumptions have been. While we have been busy congratulating ourselves and wasting energy in absurd cultural and commercial squabbles, tyranny has been relentlessly on the march. And while our commitment to maintaining a strong military capability has been half-hearted at best, our enemies are in deadly earnest. Vladimir Putin demonstrated just how deadly yesterday, as he launched Blitzkrieg on Ukraine by land, sea and air. Even though the drumbeat to war had in recent days become deafening, who among us was not shocked to wake up to terrifying headlines announcing the full-scale invasion?', ""And if that wasn't sufficiently chilling, the president's astonishing, rambling, warmongering rant certainly was."", ""Any country tempted to stand in Russia's way, he warned, faced retaliation that would 'lead you to consequences you have never encountered in your history'."", 'Not since World War II has our continent seen a darker day. In this paper last Saturday, MI5 chief Ken McCallum warned we were in a historic struggle to defend our very way of life. How prescient he has proved to be. In this terrible act of aggression the echoes of history are unfolding before our eyes.', ""Until now, the West's response to this crisis has been utterly abject. Diplomacy has failed miserably."", 'The pantomime of Western presidents and chancellors rushing obligingly to Moscow in recent weeks to be humiliated by Putin one by one was deeply unedifying. Like a malevolent puppeteer, he blithely made them dance on their strings. With a straight face, he brazenly lied, strenuously denying he had plans to invade. How foolish he has made them all look — none more so than preening French leader Emmanuel Macron, who hubristically declared he had brokered a deal between Moscow and Washington, only to see it disintegrate within hours. By launching his attack, however, Putin has excommunicated himself from the international community of civilised nations, and Russia is now a pariah state.', ""The question on the world's lips now is: How far will this ruthless and vain megalomaniac go?"", ""Today, it's Ukraine that is paying the price of Western weakness. But Putin has grandiose territorial ambitions."", 'His stated dream is to reconstitute the Soviet Union. So where will he turn his guns tomorrow? The Baltic states of Estonia, Latvia and Lithuania? Georgia? Moldova? And if — or, more likely, when — he does, what will be our response? Does free Europe and the U.S. have the resolve to stop him in his tracks?', ""Putin is gambling that the answer is 'no'. And after Western forces not so much left Afghanistan as scarpered ignominiously for the exit, who can blame him?"", ""The truth is, it is little wonder the Kremlin shows such contempt for the West's threats. In the past, there has been such pathetically little substance to back them up."", 'In the past decade alone, Putin has annexed Crimea, shot down a civilian airliner, supported Syrian despot Assad and poisoned the Skripals in Salisbury. And what was his punishment for that litany of outrages? Embarrassingly feeble sanctions and a diplomatic slap on the wrist which had no discernible deterrent effect whatsoever. But perhaps, finally, a hard rain is going to fall. Boris Johnson captured the sombre, yet defiant, mood (and, dare we say, how far from the trivialities of Partygate — which sections of the nation lost its mind over — this now seems).', ""In Churchillian terms, he condemned Putin's 'hideous and barbaric venture', adding: 'He will never be able to cleanse the blood of Ukraine from his hands.'"", ""Significantly, he warned that Britain would act 'diplomatically, politically, economically and — eventually — militarily' to tame the dictator."", 'After all, there is no point arguing — as some inevitably will — that Ukraine is a long way away and events there are none of our business. For that is to ignore history.', ""Eighty-four years ago, with his hollow proclamation of 'peace for our time', Chamberlain emboldened Hitler by confirming that the Allies would never stand up to him."", ""Decisions taken now, in response to Russia's invasion, will determine whether 2022 goes down in history as a comparable year of shame."", ""It is time to match strident rhetoric with tough actions and hit the bloodstained bandit and his cronies in the most sensitive part of their anatomy — their wallets. On that score, this paper welcomes the Prime Minister's pledge to impose far tougher sanctions."", 'More than 100 firms and oligarchs will be barred from Britain. Mega-rich individuals will have bank deposits capped.', ""Putin's kleptocratic pals have a penchant for buying houses, shopping and sending their children to England's private schools."", ""But if Russia is determined to be Europe's enemy, we should treat them as such. We didn't allow the Nazi elite to educate their offspring or own property here during World War II."", ""Meanwhile, all major Russian banks will be kneecapped with an asset freeze and excluded from the UK financial system. And flights from Aeroflot — Russia's flag carrier — will be banned from landing on British soil."", ""This is a very useful start. It will tighten the squeeze on Russia's basket-case economy and make it more difficult for Putin to fund a prolonged military campaign. But what if the tyrant refuses to hold back from further violations of the international order?"", 'Mr Johnson wants to suspend Russia from the Swift international financial payment system, which would bring its economy to a shuddering halt. The U.S., which has taken a firm stand and unveiled harsher punishments, agrees. Yet, indefensibly, the move was blocked after an abject surrender by Germany and Italy, who selfishly fret it will damage their own banks. To successfully recreate a Tsarist empire, Putin must drive wedges between Western nations — weakening our collective unity. By cravenly putting the avoidance of short-term financial pain before standing up for democratic values, Berlin and Rome have done just that. It is truly contemptible.', ""This crisis has starkly exposed Europe's perilous dependence on Russian energy. It must end. This addiction is Putin's biggest financial and political trump card."", 'Without it, his power would crumble and his country would be beggared.', ""Of course, the war will deal a blow to Britain's economy. Higher petrol, energy and food prices will hit people's pockets — worsening the cost of living crisis. But for freedom's sake, we must be prepared to bear the pain — and do so for the long haul."", 'With luck, Mr Johnson gave Putin pause for thought — and stiffened the sinews of our partners — by vowing to use military force if a Nato nation is attacked. But we ask: how can Britain expect to be taken seriously when our Armed Forces have been cut, cut and cut again? Nevertheless, while the war in Ukraine is a catastrophe, for the West the situation could be indescribably worse. Had Sir Keir Starmer got his way at the 2019 election, Kremlin-sympathising, Nato-hating Jeremy Corbyn might now be in Downing Street.\xa0 In his fight against democracy, sovereignty and the right of people to choose their own destiny, Putin would have had an ally of unprecedented value.', ""Mercifully, thanks to the common sense and decency of the British electorate, he hasn't. Now it is imperative he fails in his warmongering. We must strain every fibre to ensure he does."", 'A final thought: conflict in Europe is frightening enough for Britons thousands of miles away. For the people of Ukraine, it is more than a hypothetical discussion: it is a terrifying reality, with shells falling, blood spilled, families torn apart, and lives ruined. As frightened masses flee their homes seeking safety, the continent must brace itself for a huge refugee crisis. The Ukrainian people are victims of a monstrous act of war. Britain has a solemn duty to offer them all the steel and succour we can.","Keir Starmer, Boris Johnson, Vladimir Putin, Johnson, Jeremy Corbyn, Emmanuel Macron, Moldova, Chamberlain, Ken McCallum, Putin, Crimea, Hitler",daily_mail
8,2/26/2022,Ukraine by rubbing out red line,"EU betrayed Ukraine by rubbing out red line It is a contrast to make the blood boil. In Ukraine, thousands of ordinary people have taken up arms, heroically prepared to fight to the last man – and woman – to repel Russian forces.\xa0 But in the gilded chancelleries of EU nations, courage is in lamentably short supply.', ""While words of denunciation have rolled off their tongues, the bloc's pusillanimous and self-serving politicians have refused to hit Vladimir Putin's gangster regime with the most painful economic sanctions."", ""A full-scale invasion was supposed to be a 'red line' – triggering instant, brutal retaliatory measures. Instead, the EU is turning that red line a watery pink."", ""It has dismissed Boris Johnson's pleas to eject Russia from Swift, the world's biggest financial payments system.\xa0"", ""Such a move could cripple the regime's economy, making Putin think twice about fresh aggression."", ""But the bloc says this should be a 'last resort'.\xa0"", 'This begs the question what, if not an unprovoked attack on a sovereign country, would be sufficient provocation? The squalid truth is, while Ukrainians die defending their homeland, our erstwhile EU partners want to trade oil, gas and – incredibly – luxury fashion goods with the Kremlin. It is profoundly immoral. Thankfully, because of Brexit we can go further and faster on sanctions than the shabby, sclerotic so-called super-state. Absurdly, the EU boasts that it – not Nato – is responsible for peace in Europe.', ""Now, that fig leaf lies exposed. By failing to punish Putin with the harshest sanctions, it has not only lost its moral compass. It has delivered a devastating blow to Ukraine's fight for survival."", 'Naivety needs to end One shocking aspect of the war is that it is happening at all. Because, for many years, governments convinced us that state-on-state conflict had gone the way of the Zeppelin. With armed combat raging in Ukraine, how foolish that conceit seems now. So to face the future, ministers must have a fundamental rethink. For sovereign nations to guarantee their security in these turbulent times, it is crucial they retain independence in three strategic sectors: Defence, energy and food.', ""Britain, depressingly, is making a pig's ear of each. With the war pushing up energy costs, we must end our dangerous reliance on volatile regimes to keep our lights on."", 'If ever a moment was screaming for us to exploit North Sea gas reserves and build nuclear power stations, it is now. Food prices, too, are soaring – especially wheat. Yet the Government seems obsessed with turning our countryside into a rewilding theme park for the Notting Hill set.\xa0', ""Wouldn't it be better to have a proper agricultural strategy and grow more crops ourselves?"", ""And the rekindled knowledge that conflagration can flare up at any time should be a warning to stop running down Britain's military capabilities.\xa0"", 'A properly manned and equipped Armed Forces not only fights effectively, but deters aggression. For too long, we have been naively cavalier about the threats to our critical sectors. We must take off the rose-tinted glasses. Our moral duty to act The exodus of frightened, desperate people fleeing the warzone is heartbreaking. This humanitarian catastrophe could see millions displaced from their homes to refugee camps. That is why the Mail urges the Government to ensure Britain takes in its fair share.', ""Of all Europe's countries, the UK has the noblest tradition of offering sanctuary."", 'From the Kindertransport children rescued from the Nazis to the Syrian families forced out by Assad, we have welcomed them with open arms.', ""For the innocent victims of Putin's war, it is our moral duty to do so again.\xa0""","Vladimir Putins, Putin, Boris Johnsons, Naivety",daily_mail
9,2/28/2022,How YOU can help the victims of tyranny,"With each passing hour, the sheer scale of the humanitarian catastrophe engulfing Ukraine worsens.', ""Hundreds of thousands of terrified refugees, their worldly belongings crammed into suitcases or carrier bags, are fleeing Vladimir Putin's monstrous act of aggression."", ""Such harrowing scenes are redolent of the Second World War's darkest days. That the exodus is happening in 21st century Europe, supposedly a beacon of peaceful, civilised prosperity, is deeply shocking."", 'Wrenched from their menfolk, who are staying behind to fight the Russian invaders, almost all of this heartbreaking human tide are women, children, the elderly and infirm. Tonight, the luckiest will sleep in tents in makeshift camps after reaching neighbouring countries. The less fortunate must slumber in appalling squalor on freezing streets. Against this distressing background, it is easy to remember how war brings out the worst in people.', ""The Kremlin's armed forces have shown savagery and sickening indifference to civilians, blasting apartment blocks and even a hospital with missiles."", ""Nothing could illustrate more starkly Putin's deranged depravity than his threat to unleash nuclear hell, perversely blaming Nato 'aggression'.\xa0"", ""Is the killer president so befuddled he doesn't realise the Western alliance only galvanised because his troops stormed a peaceable sovereign nation?"", 'The truth is, the tyrant is ratcheting up tensions because it is dawning on him he may have miscalculated. Readers of Mail Newspapers have always shown immense generosity at times of crisis. Calling upon that human spirit, we are now launching an appeal to raise money for refugees from Ukraine.', ""For, surely, no one can fail to be moved by the heartbreaking images and stories of families – mostly women, children, the infirm and elderly – fleeing from Russia's invading armed forces."", 'As this tally of misery increases over the coming days and months, these innocent victims of a tyrant will require accommodation, schools and medical support. All donations to the Mail Ukraine Appeal will be distributed to charities and aid organisations providing such essential services. In the name of charity and compassion, we urge all our readers to give swiftly and generously. TO MAKE A DONATION ONLINE Via bank transfer, please use these details: Account name: Associated Newspapers Account number: 20769512 Sort code: 50-00-00 TO MAKE A DONATION VIA CHEQUE', ""Make your cheque payable to 'Mail Newspapers – Ukraine Appeal'"", 'and post it to: Mail Newspapers Ukraine Appeal, GFM, 42 Phoenix Court, Hawkins Road, Colchester, Essex CO2 8JY Ukrainian fighters, bolstered by weapons from Britain and others, have proved impressively resolute.', ""And the ligature of sanctions – initially lamentably tame – is tightening around Putin's neck. Russia's trade (which finances its war machine) is crumbling and its economy is wobbling."", ""But as well as bringing out people's worst, war can also conjure up their best."", ""Take Ukraine's president Volodymyr Zelensky. A comic actor not long ago, he's rallied his citizens by defiantly shunning offers of exile to fight for democracy."", 'And who could fail to be inspired by the courage of ordinary Ukrainians? This time last week, they were going about their everyday lives. Now they are taking up arms to defend their cherished liberties. Closer to home, Boris Johnson has handled the crisis with aplomb. Leading from the front, he has succeeded in shaming EU foot-draggers to step up support for Ukraine – a huge blow to Putin. Today, we ask you – our remarkable readers – to join the struggle. With our sister paper, The Mail on Sunday, we are campaigning to raise money for the refugees. Over the coming weeks, these victims of an immoral dictator will need shelter, hot food, schooling and medical support. Every single penny we receive will be distributed to charities and aid organisations providing such essential services.', ""And the appeal has got off to a flying start. On day one alone, you dug deep to donate £268,000. And the Mail's parent company added £500,000. The Prime Minister has applauded readers for 'playing their part in helping those in dire need'."", 'And with the Government making it easier for some stricken Ukrainians to come here, Britain is upholding its fine tradition of supporting refugees from conflict. Many have called for ministers to throw the doors open. That sentiment is noble.', ""But leave aside the practicalities of housing the displaced. The Ukrainian ambassador himself says it is better to support them to remain near their homes so when conditions improve it's easier for them to return."", ""In all this paper's campaigns, from fighting plastic pollution to volunteering for the NHS, to funding PPE for nurses, you have exceeded our highest expectations."", ""Charity and compassion are your bywords. So we are confident you will help those who have lost everything to Putin's barbarism.""","Boris Johnson, Volodymyr Zelensky, Vladimir Putins, Ukraine Appeal, Putin",daily_mail
